episode, total_reward, respect, done
episode, total_reward, respect, done
episode, total_reward, respect, done
139, -236.307597216194, 29.0, 1.0
35, -28.114380421578595, 0.0, 1.0
42, -84.94212714523188, 11.0, 1.0
112, -171.99229114969964, 18.0, 1.0
86, -120.2344099305045, 14.0, 1.0
79, -72.40175223728835, 5.0, 1.0
60, -83.94489543999862, 7.0, 1.0
97, -79.34543648878952, 9.0, 1.0
37, -95.22490580474293, 1.0, 1.0
20, -22.326439451305156, 2.0, 1.0
152, -171.29413637480047, 19.0, 1.0
80, -131.66734154124282, 17.0, 1.0
71, -72.0143886406766, 7.0, 1.0
64, -91.5250361391998, 12.0, 1.0
31, -16.702876911171526, 0.0, 1.0
37, -59.83339940972875, 8.0, 1.0
132, -374.1388875708045, 55.0, 1.0
53, -48.469077971449785, 3.0, 1.0
98, -102.19582827187675, 2.0, 1.0
152, -208.12241240085, 24.0, 1.0
74, -77.50089875317546, 8.0, 1.0
65, -114.38418537060201, 12.0, 1.0
158, -125.25921630998386, 14.0, 1.0
52, -53.40392431638625, 4.0, 1.0
37, -42.01729409245379, 4.0, 1.0
125, -71.70416680655802, 6.0, 1.0
108, -232.10503706147819, 26.0, 1.0
37, -63.1306933364227, 6.0, 1.0
31, -27.957534779140317, 2.0, 1.0
59, -90.86755860664618, 12.0, 1.0
167, -167.93432240529063, 20.0, 1.0
82, -97.61997806696486, 11.0, 1.0
73, -125.2031560679427, 16.0, 1.0
148, -260.12570483289295, 37.0, 1.0
34, -54.22250853180608, 7.0, 1.0
120, -135.07755466847405, 14.0, 1.0
63, -78.93191147925135, 9.0, 1.0
69, -72.81433290922037, 9.0, 1.0
101, -83.82481112627926, 4.0, 1.0
96, -147.19653190891822, 19.0, 1.0
52, -83.35318863663716, 11.0, 1.0
76, -128.0951079430104, 16.0, 1.0
73, -116.36250049152783, 14.0, 1.0
129, -153.73357827574293, 19.0, 1.0
80, -154.15703527897875, 22.0, 1.0
53, -30.056116391608388, 0.0, 1.0
59, -53.72094404440213, 5.0, 1.0
46, -75.59495190114085, 8.0, 1.0
85, -88.009847013527, 8.0, 1.0
61, -39.61469031600381, 2.0, 1.0
132, -161.71011657737125, 21.0, 1.0
29, -83.0967104499827, 12.0, 1.0
54, -129.7457251405469, 17.0, 1.0
100, -122.74422033879274, 9.0, 1.0
103, -150.88957098851247, 18.0, 1.0
