episode, total_reward, respect, done
episode, total_reward, respect, done
episode, total_reward, respect, done
47, -34.19993021717889, 3.0, 1.0
114, -334.2323503185609, 41.0, 1.0
14, -1.6161632370240875, 0.0, 1.0
74, -42.360568467289504, 4.0, 1.0
26, -35.12122622076897, 3.0, 1.0
69, -110.69972325220711, 12.0, 1.0
83, -60.238023467842694, 7.0, 1.0
55, -18.888116670529218, 1.0, 1.0
56, -63.34538137335868, 6.0, 1.0
118, -46.44557432745071, 4.0, 1.0
71, -23.190238172140216, 1.0, 1.0
98, -71.03059221521637, 6.0, 1.0
128, -118.03323292918809, 14.0, 1.0
71, -65.89709875844422, 7.0, 1.0
57, -39.407344914982126, 3.0, 1.0
56, -49.980634160150565, 6.0, 1.0
84, -134.78241349243794, 15.0, 1.0
49, -57.71303115435421, 7.0, 1.0
53, -48.53021072626456, 3.0, 1.0
76, -116.04142424119007, 15.0, 1.0
65, -70.4601511600433, 8.0, 1.0
85, -105.74556589190318, 11.0, 1.0
897, -888.4418924314384, 42.0, 1.0
56, -89.67062144699644, 11.0, 1.0
30, -56.49404871343975, 6.0, 1.0
82, -165.83503345730384, 24.0, 1.0
67, -63.472258201212064, 6.0, 1.0
69, -39.456495389431936, 2.0, 1.0
85, -71.59921750221658, 10.0, 1.0
179, -220.03431933131145, 28.0, 1.0
101, -155.29841910168, 19.0, 1.0
113, -86.48538454253081, 8.0, 1.0
71, -48.270801742671246, 4.0, 1.0
140, -228.62034621941208, 30.0, 1.0
34, -26.144434861071254, 2.0, 1.0
69, -56.70989640072093, 5.0, 1.0
129, -88.55565861404017, 7.0, 1.0
74, -118.29696296529899, 14.0, 1.0
69, -165.06609793366178, 24.0, 1.0
185, -185.83085452388676, 22.0, 1.0
211, -175.41222686470195, 11.0, 1.0
149, -166.50494936101006, 20.0, 1.0
110, -124.25053227570892, 17.0, 1.0
35, -44.34371872530726, 3.0, 1.0
42, -44.48475819239698, 6.0, 1.0
50, -29.209769107470812, 3.0, 1.0
101, -135.9076925524328, 16.0, 1.0
163, -170.54283640552896, 21.0, 1.0
72, -61.643875084441355, 5.0, 1.0
42, -26.14260121153629, 1.0, 1.0
90, -141.89682456683718, 19.0, 1.0
79, -60.46349760390537, 3.0, 1.0
72, -95.40103570740447, 7.0, 1.0
388, -384.2052074337567, 14.0, 1.0
54, -104.14062740089794, 15.0, 1.0
42, -107.01530153529454, 14.0, 1.0
65, -41.77958514241207, 2.0, 1.0
145, -93.2561342944713, 7.0, 1.0
14, -2.8736978960005777, 0.0, 1.0
45, -26.818876942511448, 2.0, 1.0
66, -47.57827620710962, 5.0, 1.0
55, -59.886856762453746, 6.0, 1.0
101, -79.64995822988952, 10.0, 1.0
114, -131.3965310363101, 10.0, 1.0
78, -59.30071658578209, 5.0, 1.0
52, -44.46846682385161, 3.0, 1.0
66, -51.24762673817465, 5.0, 1.0
99, -72.7235593053713, 6.0, 1.0
58, -52.67688589729292, 5.0, 1.0
56, -64.10851770191147, 6.0, 1.0
178, -232.7819349636201, 16.0, 1.0
37, -69.35654147239455, 8.0, 1.0
57, -25.9182834424765, 0.0, 1.0
102, -251.07198897397384, 35.0, 1.0
30, -18.269778924836228, 1.0, 1.0
